                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.9719,                  1.921,                 2.3481,                0.32503,                0.37713,                0.26669,                0.11717,                 2.1159,                 2.5467,                 2.5312,              0.0011059,              0.0011059,              0.0011059
                     71,                 1.9234,                 1.8266,                    2.3,                0.39109,                0.39451,                0.33135,                0.14949,                 2.0396,                 2.2785,                 2.4393,              0.0010976,              0.0010976,              0.0010976
                     72,                 1.9399,                 1.8979,                  2.332,                0.37747,                0.44228,                0.34598,                0.14686,                 2.1076,                 2.2549,                 2.5104,              0.0010894,              0.0010894,              0.0010894
                     73,                 1.9421,                   1.87,                 2.3457,                0.33068,                0.33092,                0.27976,                0.11312,                 2.1182,                 2.3206,                 2.5581,              0.0010811,              0.0010811,              0.0010811
                     74,                 1.9639,                 2.0656,                 2.3598,                0.23519,                0.26507,                0.20336,                0.08621,                 2.1338,                 2.5019,                 2.5799,              0.0010729,              0.0010729,              0.0010729
                     75,                 1.8631,                 1.7749,                 2.2327,                0.36539,                0.29748,                 0.2517,                0.10129,                 2.2107,                 2.5653,                 2.6189,              0.0010646,              0.0010646,              0.0010646
                     76,                 1.8921,                 1.8356,                 2.2702,                0.38911,                0.31632,                0.30528,                0.13349,                 2.2147,                 2.4716,                 2.6368,              0.0010564,              0.0010564,              0.0010564
                     77,                 1.9103,                 1.9121,                 2.3051,                0.39106,                0.34293,                0.31281,                0.13206,                 2.2153,                 2.4721,                 2.6344,              0.0010481,              0.0010481,              0.0010481
                     78,                  1.951,                 1.8933,                 2.3451,                 0.3632,                0.42988,                0.34183,                0.14315,                 2.0761,                 2.2401,                 2.5268,              0.0010399,              0.0010399,              0.0010399
                     79,                  1.957,                 1.9712,                 2.3497,                0.37634,                0.32749,                0.27878,                0.11479,                 2.0741,                 2.2894,                 2.4996,              0.0010316,              0.0010316,              0.0010316
                     80,                 1.9411,                  1.945,                 2.3214,                0.36898,                0.33336,                0.26275,                0.10863,                 2.1082,                 2.2944,                 2.5046,              0.0010234,              0.0010234,              0.0010234
                     81,                 1.8438,                 1.8349,                 2.2177,                 0.3701,                0.35905,                0.28107,                0.11353,                 2.1478,                 2.2723,                 2.5412,              0.0010151,              0.0010151,              0.0010151
                     82,                 1.8971,                 1.8951,                 2.2712,                0.46125,                0.32074,                0.32581,                0.13142,                 2.1544,                 2.2946,                 2.5594,              0.0010069,              0.0010069,              0.0010069
                     83,                 1.9059,                 1.8341,                 2.2592,                 0.3275,                0.29371,                 0.2527,                0.10561,                 2.1547,                 2.4974,                 2.5171,             0.00099862,             0.00099862,             0.00099862
                     84,                 1.9083,                 1.8315,                 2.2871,                0.41234,                0.32539,                0.31396,                0.14051,                 2.1297,                 2.3633,                 2.4696,             0.00099036,             0.00099036,             0.00099036
                     85,                  1.816,                 1.7429,                 2.2163,                0.51963,                0.33603,                0.35899,                 0.1625,                 2.1067,                 2.2615,                 2.4482,             0.00098211,             0.00098211,             0.00098211
                     86,                 1.8841,                 1.8174,                 2.2515,                0.43998,                0.41899,                0.36284,                0.15434,                 2.1168,                 2.2471,                 2.4809,             0.00097386,             0.00097386,             0.00097386
                     87,                 1.8956,                 1.8238,                 2.2338,                0.40572,                0.44556,                0.39662,                 0.1779,                 2.0563,                 2.1093,                 2.4147,             0.00096561,             0.00096561,             0.00096561
                     88,                 1.8672,                 1.7735,                 2.1901,                0.41161,                0.41289,                0.35486,                0.16582,                 2.0487,                  2.183,                 2.4342,             0.00095736,             0.00095736,             0.00095736
                     89,                 1.8137,                 1.7344,                 2.1922,                0.43246,                0.40753,                 0.3507,                0.16067,                 2.0624,                 2.2013,                 2.4457,             0.00094911,             0.00094911,             0.00094911
                     90,                 1.8132,                  1.796,                 2.2161,                0.43096,                0.43294,                0.37721,                0.16314,                 2.0487,                 2.1388,                 2.4397,             0.00094085,             0.00094085,             0.00094085
                     91,                 1.8232,                 1.7641,                 2.2237,                 0.4744,                0.43073,                0.38987,                0.16672,                 2.1113,                 2.3123,                 2.5292,              0.0009326,              0.0009326,              0.0009326
                     92,                 1.8386,                 1.7691,                 2.1974,                0.52612,                 0.4448,                0.42226,                0.17942,                 2.0267,                 2.1484,                 2.4173,             0.00092435,             0.00092435,             0.00092435
                     93,                 1.8858,                 1.7889,                  2.252,                0.52439,                0.51845,                0.45989,                0.19108,                 2.0367,                 2.1284,                 2.4042,              0.0009161,              0.0009161,              0.0009161
                     94,                 1.8282,                 1.7772,                 2.2186,                0.46949,                0.51012,                 0.4028,                0.17027,                 2.0636,                 2.2243,                 2.4245,             0.00090785,             0.00090785,             0.00090785
                     95,                 1.8705,                  1.773,                 2.2615,                0.42178,                0.46672,                0.40979,                0.18041,                 1.9852,                 2.1501,                 2.3455,              0.0008996,              0.0008996,              0.0008996
                     96,                  1.814,                 1.7376,                 2.1788,                0.47843,                0.40923,                0.39671,                0.16697,                 2.0285,                 2.1076,                 2.3709,             0.00089134,             0.00089134,             0.00089134
                     97,                 1.7996,                 1.7458,                 2.1957,                0.41154,                0.43998,                0.39436,                 0.1649,                  2.034,                 2.1204,                 2.3805,             0.00088309,             0.00088309,             0.00088309
                     98,                 1.8034,                  1.724,                 2.1954,                0.40798,                0.40557,                0.36764,                 0.1575,                 2.0966,                 2.2854,                 2.4331,             0.00087484,             0.00087484,             0.00087484
                     99,                 1.7754,                 1.7012,                 2.1669,                 0.4167,                0.40923,                0.34853,                0.15247,                 2.0689,                 2.2415,                 2.3959,             0.00086659,             0.00086659,             0.00086659
                    100,                  1.799,                 1.6899,                 2.1673,                0.51791,                0.48079,                0.45797,                0.20136,                  1.976,                 2.0122,                 2.3106,             0.00085834,             0.00085834,             0.00085834
                    101,                 1.7385,                  1.648,                  2.152,                 0.4992,                0.50427,                0.41441,                0.17406,                 1.9793,                 2.0754,                 2.3047,             0.00085009,             0.00085009,             0.00085009
                    102,                 1.8082,                 1.6858,                 2.1187,                0.47054,                0.49241,                0.39926,                0.16307,                 2.0147,                 2.0815,                 2.3668,             0.00084184,             0.00084184,             0.00084184
                    103,                 1.7727,                  1.801,                 2.2111,                0.57776,                0.43161,                0.46339,                0.19973,                 2.0348,                 1.9594,                  2.364,             0.00083358,             0.00083358,             0.00083358
                    104,                 1.8739,                 1.7676,                 2.2443,                0.48911,                0.42463,                 0.3807,                0.16102,                 2.0625,                 2.1035,                 2.3755,             0.00082533,             0.00082533,             0.00082533
                    105,                 1.7786,                 1.6235,                 2.1146,                0.45362,                 0.3955,                0.35659,                0.15303,                 2.0548,                 2.1232,                 2.3628,             0.00081708,             0.00081708,             0.00081708
                    106,                 1.8117,                 1.6803,                 2.1487,                0.49615,                 0.4357,                0.39204,                0.17808,                 2.0014,                 2.0731,                 2.3168,             0.00080883,             0.00080883,             0.00080883
                    107,                 1.7511,                 1.6865,                 2.1515,                0.41971,                0.48643,                0.38798,                0.17646,                 2.0261,                 2.0899,                 2.3419,             0.00080058,             0.00080058,             0.00080058
                    108,                 1.7766,                 1.7351,                 2.1896,                 0.3886,                0.41289,                0.33425,                0.15338,                 2.0382,                 2.1601,                 2.3512,             0.00079233,             0.00079233,             0.00079233
                    109,                 1.7371,                 1.6174,                 2.0701,                0.39746,                0.42939,                0.33188,                0.15603,                 2.0353,                 2.1282,                  2.352,             0.00078407,             0.00078407,             0.00078407
                    110,                 1.7607,                 1.5822,                  2.091,                0.44701,                0.45387,                 0.3921,                0.18634,                 2.0096,                 2.0412,                 2.3449,             0.00077582,             0.00077582,             0.00077582
                    111,                 1.7866,                 1.6976,                 2.1892,                0.51245,                0.49401,                0.46476,                0.20401,                 1.9685,                 1.9712,                 2.3432,             0.00076757,             0.00076757,             0.00076757
                    112,                 1.7252,                 1.6217,                 2.1336,                0.49269,                0.43393,                0.39855,                0.18019,                 1.9908,                 2.0147,                 2.3685,             0.00075932,             0.00075932,             0.00075932
                    113,                 1.7335,                 1.6445,                 2.0663,                0.49649,                0.42695,                 0.3857,                0.17317,                 2.0255,                 2.0212,                 2.4044,             0.00075107,             0.00075107,             0.00075107
                    114,                 1.7337,                 1.6425,                 2.1435,                0.48268,                0.47968,                0.41067,                0.17371,                  2.057,                 2.0163,                 2.4454,             0.00074282,             0.00074282,             0.00074282
                    115,                  1.772,                 1.7447,                 2.1273,                0.56052,                0.50256,                0.46839,                  0.213,                 1.9656,                 1.9275,                 2.3426,             0.00073456,             0.00073456,             0.00073456
                    116,                 1.6958,                 1.5653,                 2.0671,                0.52237,                0.48056,                0.45558,                0.19564,                 2.0045,                 1.9877,                 2.3769,             0.00072631,             0.00072631,             0.00072631
                    117,                 1.6901,                 1.5482,                 2.0661,                0.54892,                0.46881,                 0.4605,                0.20245,                 1.9969,                 1.9675,                 2.3676,             0.00071806,             0.00071806,             0.00071806
                    118,                 1.7132,                 1.5932,                 2.1027,                0.52503,                0.50648,                  0.455,                0.21775,                  1.963,                 1.9366,                 2.3049,             0.00070981,             0.00070981,             0.00070981
                    119,                 1.7966,                  1.638,                 2.1182,                0.48381,                0.54136,                0.44994,                0.21613,                 1.9475,                 1.9084,                 2.2946,             0.00070156,             0.00070156,             0.00070156
                    120,                  1.654,                 1.5328,                 2.0159,                0.52557,                0.52903,                0.47013,                0.22487,                 1.9436,                 1.8525,                 2.2857,             0.00069331,             0.00069331,             0.00069331
                    121,                 1.7051,                 1.5588,                 2.0314,                 0.5206,                0.47913,                0.47238,                0.22015,                 1.9673,                 1.8686,                 2.3052,             0.00068505,             0.00068505,             0.00068505
                    122,                 1.6889,                 1.5632,                 2.0617,                0.55833,                 0.4773,                0.45021,                0.21058,                  1.956,                 1.9284,                 2.2841,              0.0006768,              0.0006768,              0.0006768
                    123,                 1.7208,                 1.6172,                 2.0597,                0.56726,                0.43526,                0.40954,                0.17701,                  2.018,                 2.0973,                 2.3454,             0.00066855,             0.00066855,             0.00066855
                    124,                 1.7507,                 1.6139,                 2.0698,                0.58281,                0.46567,                0.46699,                0.21576,                 1.9988,                 1.9325,                 2.3352,              0.0006603,              0.0006603,              0.0006603
                    125,                 1.6985,                 1.5502,                 2.0529,                0.52232,                0.52623,                0.47563,                0.22218,                 1.9841,                 1.8752,                  2.334,             0.00065205,             0.00065205,             0.00065205
                    126,                 1.7327,                 1.5486,                 2.0712,                0.49818,                0.56554,                 0.4996,                0.22277,                 1.9876,                 1.7903,                 2.3335,              0.0006438,              0.0006438,              0.0006438
                    127,                 1.7349,                 1.5346,                 2.0893,                 0.5123,                0.57282,                0.47814,                0.22329,                 1.9967,                 1.8118,                 2.3137,             0.00063554,             0.00063554,             0.00063554
                    128,                 1.6977,                 1.5114,                  2.029,                0.53262,                0.53391,                0.48011,                0.23027,                 1.9781,                 1.8108,                 2.3045,             0.00062729,             0.00062729,             0.00062729
                    129,                 1.7024,                  1.549,                 2.0542,                0.53984,                0.54003,                0.49255,                0.22846,                 1.9945,                 1.8037,                 2.3349,             0.00061904,             0.00061904,             0.00061904
                    130,                 1.7366,                  1.618,                 2.1574,                0.64636,                0.43614,                0.46003,                0.20286,                 2.0502,                 1.8718,                 2.3893,             0.00061079,             0.00061079,             0.00061079
                    131,                  1.688,                 1.4199,                 2.0415,                0.60782,                0.42905,                0.48203,                0.20748,                 2.0261,                 1.9169,                 2.3551,             0.00060254,             0.00060254,             0.00060254
                    132,                  1.684,                 1.4851,                 2.0534,                0.59074,                0.47835,                0.47447,                0.20136,                 2.0177,                 1.9925,                 2.3661,             0.00059429,             0.00059429,             0.00059429
                    133,                 1.6756,                  1.488,                 2.0766,                0.62212,                0.46904,                0.49012,                0.21388,                  1.987,                 1.9679,                  2.346,             0.00058603,             0.00058603,             0.00058603
                    134,                 1.6618,                 1.4716,                 2.0362,                0.56325,                0.51887,                0.50027,                0.21972,                 1.9786,                 1.8654,                 2.3265,             0.00057778,             0.00057778,             0.00057778
                    135,                 1.6857,                 1.5147,                 2.0644,                0.52909,                0.50637,                0.44261,                0.21113,                 2.0078,                 1.9122,                 2.3024,             0.00056953,             0.00056953,             0.00056953
                    136,                 1.6518,                 1.4719,                 2.0226,                0.53745,                0.48178,                0.45301,                0.21941,                 1.9668,                 1.9092,                 2.3028,             0.00056128,             0.00056128,             0.00056128
                    137,                 1.6587,                 1.5083,                 2.0297,                0.56299,                0.46782,                0.47293,                 0.2252,                 1.9436,                 1.8582,                 2.2886,             0.00055303,             0.00055303,             0.00055303
                    138,                 1.6447,                 1.4806,                 2.0183,                0.55697,                0.49568,                0.48731,                0.22517,                 1.9485,                 1.8232,                 2.2942,             0.00054478,             0.00054478,             0.00054478
                    139,                 1.6312,                 1.4049,                 1.9963,                0.59616,                 0.4861,                0.48592,                0.23654,                 1.9073,                 1.8307,                 2.2414,             0.00053652,             0.00053652,             0.00053652
                    140,                 1.6478,                 1.4481,                 1.9881,                0.58869,                0.44273,                0.46235,                0.20691,                 1.9582,                 1.9314,                 2.2905,             0.00052827,             0.00052827,             0.00052827
                    141,                 1.6939,                 1.4107,                  2.001,                0.58841,                0.42817,                0.45577,                0.19695,                 1.9829,                 1.9623,                 2.3242,             0.00052002,             0.00052002,             0.00052002
                    142,                 1.6764,                 1.4863,                 1.9865,                0.50802,                0.47797,                0.46472,                0.20606,                 1.9822,                 1.9393,                 2.3332,             0.00051177,             0.00051177,             0.00051177
                    143,                 1.5747,                  1.372,                 1.9235,                0.54379,                0.47782,                0.43964,                0.21428,                 1.9627,                 1.9541,                 2.2783,             0.00050352,             0.00050352,             0.00050352
                    144,                 1.6151,                 1.4607,                 1.9728,                 0.5683,                0.48104,                0.45181,                0.22298,                 1.9566,                 1.9137,                 2.2499,             0.00049527,             0.00049527,             0.00049527
                    145,                 1.6148,                 1.3847,                 1.9381,                0.55998,                0.52631,                0.49287,                0.23832,                 1.9318,                 1.8093,                 2.2446,             0.00048701,             0.00048701,             0.00048701
                    146,                 1.6112,                 1.3813,                 1.9742,                 0.6182,                0.52265,                0.53023,                0.25124,                 1.9488,                 1.7435,                  2.299,             0.00047876,             0.00047876,             0.00047876
                    147,                 1.6303,                 1.4154,                 1.9719,                0.59837,                0.51764,                0.52435,                0.24516,                 1.9802,                 1.7473,                 2.3247,             0.00047051,             0.00047051,             0.00047051
                    148,                 1.6185,                 1.4493,                 2.0212,                0.54993,                0.53915,                0.49376,                0.24071,                 1.9504,                 1.8656,                 2.2761,             0.00046226,             0.00046226,             0.00046226
                    149,                 1.6185,                  1.468,                 1.9646,                 0.5818,                0.50368,                0.47214,                0.24057,                 1.9295,                 1.9505,                 2.2618,             0.00045401,             0.00045401,             0.00045401
                    150,                 1.6137,                 1.4706,                 1.9983,                0.58475,                0.53229,                0.48919,                0.24304,                 1.8961,                 1.9172,                 2.2228,             0.00044576,             0.00044576,             0.00044576
                    151,                 1.7069,                 1.4815,                 2.0418,                0.55025,                0.56496,                0.52698,                0.25808,                 1.9026,                 1.7911,                  2.272,              0.0004375,              0.0004375,              0.0004375
