                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4397,                 4.0556,                 4.2736,                0.00134,                0.08052,                0.00163,                0.00035,                 3.3442,                  4.142,                 4.1588,             0.00010002,             0.00010002,             0.00010002
                      2,                 3.5039,                 4.0192,                 4.2292,                0.00146,                 0.0875,                0.00126,                0.00031,                 3.3422,                 4.1432,                 4.1573,             0.00021564,             0.00021564,             0.00021564
                      3,                 3.4842,                 4.0028,                  4.178,                0.00149,                 0.0886,                0.00119,                0.00028,                 3.3386,                 4.1443,                 4.1535,              0.0003301,              0.0003301,              0.0003301
                      4,                 3.3844,                 3.8646,                 4.1245,                 0.0016,                 0.0968,                0.00105,                 0.0003,                 3.3323,                 4.1436,                 4.1476,             0.00044341,             0.00044341,             0.00044341
                      5,                 3.3718,                 3.6216,                 4.0773,                0.00178,                0.11087,                0.00123,                0.00029,                 3.3194,                 4.1554,                 4.1381,             0.00055556,             0.00055556,             0.00055556
                      6,                  3.286,                 3.3478,                 3.9467,                0.00175,                0.11087,                0.00125,                0.00035,                 3.3133,                 4.1796,                 4.1365,             0.00066655,             0.00066655,             0.00066655
                      7,                 3.2937,                 3.3259,                  3.847,                 0.0013,                0.09581,                0.00136,                0.00039,                 3.3286,                 4.2504,                 4.1673,              0.0007764,              0.0007764,              0.0007764
                      8,                 3.0948,                 3.1627,                 3.6843,                0.00131,                0.09581,                0.00116,                0.00038,                 3.3686,                 4.3437,                  4.213,             0.00088508,             0.00088508,             0.00088508
                      9,                 3.0994,                 3.1023,                 3.5994,                0.00136,                0.11575,                0.00113,                 0.0003,                 3.4272,                 4.3589,                 4.2825,             0.00099261,             0.00099261,             0.00099261
                     10,                 3.0073,                 3.0236,                 3.5085,                0.00141,                0.13568,                 0.0009,                0.00022,                 3.4704,                 4.3797,                 4.3446,               0.001099,               0.001099,               0.001099
                     11,                 3.0111,                 2.9468,                 3.4177,                0.00162,                0.10057,                0.00376,                0.00049,                 3.4656,                   4.37,                 4.3451,              0.0012042,              0.0012042,              0.0012042
                     12,                 3.0264,                 3.0278,                 3.4205,                0.00494,                0.26702,                0.00528,                0.00141,                 3.2078,                  3.811,                 3.8907,              0.0013083,              0.0013083,              0.0013083
                     13,                 2.8734,                 2.9198,                 3.2934,                0.00389,                0.22627,                 0.0043,                0.00124,                 3.1658,                 3.7431,                 3.7914,              0.0014112,              0.0014112,              0.0014112
                     14,                 2.9347,                 2.8884,                 3.2725,                0.52362,                0.03721,                0.01436,                0.00444,                  2.994,                 7.6337,                 3.4059,              0.0015129,              0.0015129,              0.0015129
                     15,                 2.7872,                 2.8269,                 3.2048,                0.02227,                0.03023,                0.00494,                 0.0016,                   2.96,                 10.276,                 3.3289,              0.0015515,              0.0015515,              0.0015515
                     16,                 2.7716,                 2.7919,                 3.1472,                0.03048,                0.03721,                0.00965,                0.00372,                 2.9112,                 29.419,                 3.3029,              0.0015515,              0.0015515,              0.0015515
                     17,                 2.6679,                 2.8657,                 3.0988,                0.54297,                0.03953,                0.03426,                0.01187,                 2.8591,                 33.787,                 3.2541,              0.0015432,              0.0015432,              0.0015432
                     18,                 2.7374,                 2.9069,                  3.052,                 0.2256,                0.18063,                0.07269,                0.02136,                 2.6854,                 5.2379,                 3.0807,               0.001535,               0.001535,               0.001535
                     19,                  2.695,                 2.8948,                 3.0773,                0.09757,                0.15761,                0.05913,                0.01958,                 2.8026,                 6.6415,                 3.2967,              0.0015267,              0.0015267,              0.0015267
                     20,                 2.6089,                 2.8229,                 2.9745,                0.06815,                 0.1915,                0.03475,                0.01109,                 2.8289,                 10.475,                 3.4638,              0.0015185,              0.0015185,              0.0015185
                     21,                 2.5595,                 2.7419,                 2.9079,                0.07671,                0.15871,                0.03641,                0.01096,                 2.7832,                 8.0589,                 3.3935,              0.0015102,              0.0015102,              0.0015102
                     22,                  2.508,                 2.6933,                 2.8833,                0.04738,                 0.2329,                0.03927,                 0.0127,                 2.6661,                 6.9761,                 3.1592,               0.001502,               0.001502,               0.001502
                     23,                  2.548,                 2.7757,                 2.9547,                 0.1067,                0.10698,                0.07152,                0.01972,                 2.5922,                 4.5444,                  3.064,              0.0014937,              0.0014937,              0.0014937
                     24,                 2.4834,                 2.6759,                 2.9102,                0.15644,                 0.1247,                0.06715,                0.02045,                 2.5336,                 3.6548,                 3.0305,              0.0014855,              0.0014855,              0.0014855
                     25,                 2.4762,                 2.6663,                  2.896,                0.18205,                0.16767,                0.10181,                0.03131,                 2.5803,                 3.2954,                 3.0177,              0.0014772,              0.0014772,              0.0014772
                     26,                 2.4194,                 2.6082,                 2.8345,                0.11701,                0.22714,                0.07233,                0.02057,                 2.5474,                 3.2154,                 3.0042,               0.001469,               0.001469,               0.001469
                     27,                 2.4674,                 2.6418,                 2.8624,                0.13378,                0.14674,                0.07631,                0.02459,                 2.4998,                  3.125,                 3.0395,              0.0014607,              0.0014607,              0.0014607
                     28,                 2.3066,                 2.4663,                 2.7604,                 0.1571,                0.14685,                0.10525,                0.03654,                 2.4771,                 3.1299,                 2.9849,              0.0014525,              0.0014525,              0.0014525
                     29,                 2.3701,                 2.4509,                 2.7676,                0.15878,                0.15383,                0.08887,                0.03015,                 2.5141,                 3.2817,                  3.039,              0.0014442,              0.0014442,              0.0014442
                     30,                 2.4017,                 2.5722,                 2.8069,                0.10883,                 0.1875,                0.08372,                0.02953,                   2.45,                  3.253,                 2.9685,               0.001436,               0.001436,               0.001436
                     31,                 2.3716,                 2.5168,                 2.7702,                0.14667,                0.16889,                0.09847,                0.03633,                 2.4213,                  3.031,                 2.9284,              0.0014277,              0.0014277,              0.0014277
                     32,                 2.2782,                 2.3995,                 2.6966,                0.24395,                0.20168,                0.12137,                0.04907,                 2.3418,                 3.0105,                 2.9072,              0.0014195,              0.0014195,              0.0014195
                     33,                 2.3578,                 2.3145,                 2.6771,                0.17862,                 0.2226,                0.12904,                0.04748,                 2.3405,                 2.9716,                 2.9167,              0.0014112,              0.0014112,              0.0014112
                     34,                 2.2666,                 2.4717,                 2.7281,                0.15216,                0.27377,                0.11723,                0.04051,                 2.3221,                 3.1292,                 2.8851,              0.0014029,              0.0014029,              0.0014029
                     35,                  2.248,                 2.5025,                 2.7106,                0.15727,                0.20965,                 0.1153,                0.04121,                 2.3206,                  2.915,                 2.7982,              0.0013947,              0.0013947,              0.0013947
                     36,                 2.1955,                 2.3428,                 2.6223,                0.28174,                0.28364,                0.18595,                0.07207,                 2.4031,                 3.0391,                  2.865,              0.0013864,              0.0013864,              0.0013864
                     37,                 2.1981,                 2.3189,                 2.6083,                0.24996,                0.21952,                0.16054,                0.06663,                  2.407,                 3.2516,                 2.8828,              0.0013782,              0.0013782,              0.0013782
                     38,                 2.2444,                 2.3678,                 2.6521,                0.26549,                0.20667,                0.16573,                0.05952,                 2.3357,                 3.2762,                 2.8467,              0.0013699,              0.0013699,              0.0013699
                     39,                 2.1999,                 2.2984,                 2.6311,                0.18693,                0.25318,                0.14242,                0.05142,                 2.3558,                 3.2475,                 2.8293,              0.0013617,              0.0013617,              0.0013617
                     40,                 2.2165,                 2.2575,                  2.605,                0.27211,                0.33957,                0.22907,                0.08307,                 2.2638,                  3.125,                 2.7476,              0.0013534,              0.0013534,              0.0013534
                     41,                 2.1306,                 2.2104,                 2.5682,                0.28999,                0.29722,                0.21358,                0.07669,                 2.2402,                 2.9286,                 2.6851,              0.0013452,              0.0013452,              0.0013452
                     42,                 2.2249,                 2.2563,                 2.6177,                0.29021,                0.26592,                0.20585,                0.06835,                 2.2662,                  2.865,                 2.6543,              0.0013369,              0.0013369,              0.0013369
                     43,                  2.217,                 2.2787,                 2.6282,                0.28516,                0.25661,                0.19007,                0.07038,                 2.2352,                 3.0006,                 2.6692,              0.0013287,              0.0013287,              0.0013287
                     44,                 2.1172,                 2.2206,                 2.5274,                0.26251,                0.25749,                0.18478,                0.06511,                 2.2468,                 2.7182,                 2.6847,              0.0013204,              0.0013204,              0.0013204
                     45,                 2.1825,                 2.1954,                 2.5488,                0.20657,                0.22543,                0.15808,                0.05986,                 2.2399,                 2.7846,                 2.7098,              0.0013122,              0.0013122,              0.0013122
                     46,                  2.286,                 2.3577,                 2.6295,                0.16887,                0.22238,                0.11517,                0.03502,                 2.3916,                 3.0342,                 2.8822,              0.0013039,              0.0013039,              0.0013039
                     47,                 2.2086,                 2.1869,                 2.5731,                 0.2231,                 0.2329,                 0.1137,                0.03676,                  2.347,                 2.9316,                 2.8083,              0.0012957,              0.0012957,              0.0012957
                     48,                 2.1536,                 2.1675,                 2.5284,                0.32987,                0.28233,                0.21692,                0.08464,                 2.1951,                 2.6212,                 2.6418,              0.0012874,              0.0012874,              0.0012874
                     49,                 2.1563,                 2.1488,                 2.5238,                0.30405,                0.34899,                0.24689,                0.10405,                 2.1661,                 2.5856,                 2.6204,              0.0012792,              0.0012792,              0.0012792
                     50,                 2.1148,                 2.1636,                 2.5389,                0.37769,                0.25162,                0.25732,                0.10264,                 2.1774,                 2.5041,                 2.5976,              0.0012709,              0.0012709,              0.0012709
                     51,                 2.0948,                 2.1886,                 2.5008,                0.33972,                0.29005,                0.27196,                 0.1071,                 2.2114,                 2.5675,                 2.6316,              0.0012627,              0.0012627,              0.0012627
                     52,                  2.097,                 2.1102,                 2.5326,                0.34338,                0.40114,                0.30055,                0.11925,                 2.1559,                 2.4563,                 2.5829,              0.0012544,              0.0012544,              0.0012544
                     53,                 2.1227,                 2.0798,                 2.4855,                  0.395,                0.33801,                0.27545,                0.10975,                 2.1475,                  2.645,                 2.5871,              0.0012462,              0.0012462,              0.0012462
                     54,                 2.1113,                 2.1843,                 2.5767,                0.27669,                0.35196,                0.22555,                0.08232,                 2.2063,                 3.2126,                 2.6492,              0.0012379,              0.0012379,              0.0012379
                     55,                 2.1138,                 2.1851,                 2.5144,                0.33647,                0.34772,                0.27161,                0.10906,                 2.1548,                  2.605,                 2.6085,              0.0012297,              0.0012297,              0.0012297
                     56,                 2.0787,                 2.1038,                 2.4722,                0.37366,                 0.2883,                0.26058,                0.10234,                 2.2451,                 2.4949,                  2.658,              0.0012214,              0.0012214,              0.0012214
                     57,                 2.0848,                 2.0895,                 2.4979,                0.37115,                0.31963,                0.25771,                0.10521,                 2.2695,                  2.504,                 2.6712,              0.0012132,              0.0012132,              0.0012132
                     58,                 2.1464,                 2.0821,                 2.4808,                0.22777,                0.34888,                  0.194,                0.07712,                 2.1673,                 2.5448,                 2.5932,              0.0012049,              0.0012049,              0.0012049
                     59,                 2.0844,                 2.0862,                 2.4571,                0.19014,                0.34964,                0.18795,                0.08049,                 2.1889,                 2.8187,                 2.6449,              0.0011967,              0.0011967,              0.0011967
                     60,                 2.0244,                 2.0546,                 2.4457,                0.32678,                0.33324,                0.30128,                0.12261,                 2.1598,                 2.4344,                 2.5972,              0.0011884,              0.0011884,              0.0011884
                     61,                  2.027,                 2.0492,                 2.4102,                0.31125,                0.35429,                0.31236,                0.13001,                 2.1306,                 2.3827,                 2.5748,              0.0011802,              0.0011802,              0.0011802
                     62,                 2.0285,                 2.0206,                 2.4294,                 0.3772,                0.33981,                0.30325,                0.13372,                 2.1066,                 2.4067,                 2.5831,              0.0011719,              0.0011719,              0.0011719
                     63,                 2.0354,                 1.9335,                 2.4214,                0.47838,                  0.328,                0.34391,                0.14788,                 2.1387,                 2.3886,                 2.6014,              0.0011636,              0.0011636,              0.0011636
                     64,                  1.984,                 1.9938,                 2.3918,                0.45736,                0.38812,                0.36932,                0.16008,                 2.0667,                 2.3009,                 2.4965,              0.0011554,              0.0011554,              0.0011554
                     65,                 2.0447,                  1.937,                 2.4012,                0.44648,                0.40724,                 0.3414,                0.14678,                 2.0744,                 2.2798,                 2.5068,              0.0011471,              0.0011471,              0.0011471
                     66,                 1.9935,                 1.9909,                  2.402,                0.42621,                0.25806,                0.26802,                0.12173,                 2.1761,                 2.5194,                  2.607,              0.0011389,              0.0011389,              0.0011389
                     67,                  2.009,                 1.9733,                 2.3846,                0.38452,                0.31399,                 0.2837,                0.12837,                 2.1021,                 2.3998,                 2.5042,              0.0011306,              0.0011306,              0.0011306
                     68,                 1.9564,                 1.8951,                 2.3068,                0.39402,                0.38406,                0.31304,                0.13835,                 2.0772,                  2.347,                 2.4406,              0.0011224,              0.0011224,              0.0011224
                     69,                 1.9516,                  1.994,                 2.3548,                0.33529,                0.38288,                0.27264,                0.11955,                  2.119,                 2.4695,                 2.5031,              0.0011141,              0.0011141,              0.0011141
