                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4397,                 4.0556,                 4.2736,                0.00111,                0.06889,                0.00122,                0.00029,                 3.3442,                  4.142,                 4.1587,             0.00010002,             0.00010002,             0.00010002
                      2,                 3.5011,                 4.0204,                 4.2298,                0.00166,                0.10034,                0.00872,                0.00105,                 3.3423,                 4.1426,                 4.1572,             0.00021242,             0.00021242,             0.00021242
                      3,                 3.4838,                 4.0004,                 4.1791,                0.00148,                0.08982,                0.00117,                0.00031,                 3.3392,                 4.1433,                 4.1539,              0.0003202,              0.0003202,              0.0003202
                      4,                 3.3978,                 3.8655,                 4.1252,                0.00152,                0.09215,                  0.001,                 0.0003,                 3.3333,                 4.1431,                 4.1486,             0.00042335,             0.00042335,             0.00042335
                      5,                 3.3791,                 3.6064,                  4.079,                0.00174,                0.10854,                0.00125,                 0.0003,                 3.3213,                 4.1522,                 4.1393,             0.00052189,             0.00052189,             0.00052189
                      6,                 3.3078,                 3.3582,                 3.9585,                0.00178,                0.11087,                 0.0013,                0.00035,                 3.3144,                 4.1725,                 4.1379,             0.00061581,             0.00061581,             0.00061581
                      7,                 3.3117,                  3.325,                 3.8754,                0.00117,                0.08528,                  0.001,                0.00025,                 3.3279,                 4.2116,                 4.1535,              0.0007051,              0.0007051,              0.0007051
                      8,                 3.1156,                 3.1749,                 3.7175,                0.00144,                0.11807,                 0.0011,                0.00025,                 3.3708,                 4.2747,                 4.2026,             0.00078977,             0.00078977,             0.00078977
                      9,                 3.0979,                 3.1712,                 3.6068,                0.00175,                0.16027,                0.00365,                0.00055,                 3.3842,                 4.2663,                 4.2172,             0.00086983,             0.00086983,             0.00086983
                     10,                 3.0106,                 3.0758,                 3.5428,                0.00117,                0.13458,                0.00203,                0.00034,                 3.4549,                 4.3519,                 4.2957,             0.00094526,             0.00094526,             0.00094526
                     11,                 3.0388,                 2.9316,                 3.4188,                0.00124,                0.12284,                0.00456,                0.00056,                 3.5098,                 4.4388,                 4.3898,              0.0010161,              0.0010161,              0.0010161
                     12,                 3.0084,                 3.0077,                 3.3771,                0.00151,                0.11929,                0.00112,                0.00028,                 3.4307,                  4.285,                 4.3354,              0.0010823,              0.0010823,              0.0010823
                     13,                 2.8875,                 2.9484,                 3.3411,                0.00162,                 0.1204,                0.00151,                 0.0004,                 3.3948,                 4.2987,                 4.3035,              0.0011438,              0.0011438,              0.0011438
                     14,                 2.9116,                 2.8916,                 3.2993,                0.00143,                0.10633,                0.00519,                0.00102,                 3.2323,                 4.0715,                  4.016,              0.0012008,              0.0012008,              0.0012008
                     15,                 2.8187,                 2.8576,                 3.2733,                0.53868,                0.00233,                0.00671,                0.00185,                 3.1607,                  4.057,                 3.8382,              0.0012049,              0.0012049,              0.0012049
                     16,                 2.8347,                 2.7734,                 3.2242,                0.51978,                0.02326,                0.01686,                 0.0039,                 2.8571,                 8.4982,                 3.0976,              0.0012049,              0.0012049,              0.0012049
                     17,                  2.703,                 2.8333,                 3.1933,                0.51446,                0.05581,                0.02494,                0.00724,                 2.8392,                  14.05,                 3.1007,              0.0011719,              0.0011719,              0.0011719
                     18,                 2.7177,                 2.7994,                 3.0934,                0.03917,                0.05715,                0.01779,                0.00627,                   2.81,                 3.6832,                 3.3178,              0.0011389,              0.0011389,              0.0011389
                     19,                 2.6653,                 2.8393,                 3.1127,                0.04042,                0.10023,                0.03443,                0.01083,                 2.7981,                 4.9917,                 3.3161,              0.0011059,              0.0011059,              0.0011059
                     20,                 2.5899,                 2.7883,                 3.0252,                0.06383,                0.21121,                0.03532,                0.01258,                  2.743,                 5.0818,                 3.2303,              0.0010729,              0.0010729,              0.0010729
                     21,                 2.5388,                  2.644,                 2.9491,                0.09382,                0.21819,                0.05194,                 0.0172,                  2.664,                 4.8951,                 3.0962,              0.0010399,              0.0010399,              0.0010399
                     22,                  2.524,                 2.7567,                 2.9702,                0.09134,                0.17366,                0.03838,                0.01328,                 2.6402,                  8.275,                  3.104,              0.0010069,              0.0010069,              0.0010069
                     23,                 2.5636,                 2.7885,                 3.0225,                0.12305,                0.14651,                0.05346,                0.01763,                 2.4811,                 4.2133,                 3.0389,             0.00097386,             0.00097386,             0.00097386
                     24,                 2.4544,                  2.651,                 2.9551,                0.37422,                0.23755,                0.16617,                0.05689,                 2.4409,                 3.4247,                 2.9795,             0.00094085,             0.00094085,             0.00094085
