                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.011,                 3.1539,                 4.2094,                0.00336,                      1,                 0.1686,                0.04552,                 2.5212,                 3.5071,                 4.1465,                0.00058,                0.00058,                0.00058
                      2,                 2.8615,                 2.8716,                 3.8205,                0.00336,                      1,                0.01848,                0.00601,                 2.9386,                 3.3986,                 4.9218,              0.0011566,              0.0011566,              0.0011566
                      3,                 2.6457,                 2.5943,                 3.4458,                0.00336,                      1,                 0.0368,                0.00925,                 2.8992,                   3.08,                 4.4774,              0.0017095,              0.0017095,              0.0017095
                      4,                 2.4966,                 2.3552,                 3.2389,                0.12368,                0.17355,                  0.074,                0.01415,                 2.7627,                 3.8025,                   4.11,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.3394,                 2.2096,                 3.0188,                0.35807,                0.52066,                 0.3177,                0.13553,                 1.9375,                  4.627,                  2.976,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.1835,                 2.0265,                 2.8644,                0.41919,                0.62631,                0.45559,                0.12392,                 2.4679,                 2.8722,                 3.2314,              0.0018416,              0.0018416,              0.0018416
                      7,                 2.1289,                 1.9541,                 2.8082,                0.53219,                0.52066,                0.54093,                0.10721,                  3.097,                 3.8512,                 4.0144,               0.001802,               0.001802,               0.001802
                      8,                 1.9719,                 1.8713,                 2.6813,                0.16068,                0.52066,                 0.1629,                0.07186,                 1.8826,                 2.3634,                 3.0832,              0.0017624,              0.0017624,              0.0017624
                      9,                   1.91,                 1.7544,                 2.5668,                0.50509,                0.69421,                0.64153,                0.24097,                 1.6473,                 7.9276,                 2.6097,              0.0017228,              0.0017228,              0.0017228
                     10,                  1.812,                 1.5983,                 2.4507,                0.45386,                0.81818,                0.57484,                0.23342,                 1.9379,                 5.2016,                 2.7804,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.7902,                 1.6239,                 2.4099,                0.85758,                 0.8595,                0.93261,                0.60355,                 1.3523,                 1.5656,                 2.2359,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.7053,                  1.544,                 2.3461,                 0.9074,                0.81818,                0.90892,                0.50003,                 1.6573,                  1.817,                 2.5076,               0.001604,               0.001604,               0.001604
                     13,                 1.6036,                  1.407,                 2.2287,                0.88173,                0.91736,                0.96043,                0.54865,                 1.5362,                 1.3826,                 2.4158,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.5788,                 1.4029,                 2.2026,                0.87331,                0.85454,                0.93413,                0.57654,                 1.3933,                 1.9596,                 2.1992,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.5509,                  1.378,                 2.1703,                0.99736,                0.95041,                 0.9905,                0.60543,                 1.4432,                 1.0741,                 2.2559,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.5051,                 1.2966,                 2.1201,                0.93418,                0.94215,                 0.9806,                0.63856,                 1.2711,                 1.1771,                  2.052,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.4853,                 1.2884,                  2.074,                0.97436,                0.95041,                0.98549,                0.53651,                 1.6174,                 1.4122,                 2.3333,               0.001406,               0.001406,               0.001406
                     18,                 1.4089,                 1.1569,                  2.029,                0.90987,                0.91771,                0.97079,                0.66878,                 1.1965,                0.99336,                 1.9722,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.4001,                 1.1605,                 2.0026,                0.91051,                0.92498,                0.97672,                0.61364,                 1.3687,                 1.1378,                 2.1097,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.3764,                 1.1426,                 1.9866,                0.98242,                0.92381,                0.98729,                0.61155,                 1.3177,                 1.1117,                 2.0864,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.3332,                 1.1121,                 1.9538,                0.97371,                0.91816,                0.97921,                0.63138,                 1.3225,                 1.0021,                 2.0965,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.2993,                 1.0295,                 1.8951,                0.94788,                0.93388,                0.98225,                0.69017,                 1.1921,                0.94917,                 1.9392,               0.001208,               0.001208,               0.001208
                     23,                 1.2268,                0.98452,                 1.8262,                0.95929,                0.93388,                0.98218,                0.59586,                 1.3974,                0.93812,                 2.0835,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.2531,                0.98652,                 1.8371,                0.90884,                0.90909,                 0.9523,                0.62907,                 1.2978,                 1.0256,                 2.0395,              0.0011288,              0.0011288,              0.0011288
                     25,                  1.221,                0.97404,                 1.8385,                0.95089,                0.96019,                0.98932,                0.64618,                 1.2961,                0.90107,                 2.1084,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.1749,                0.92333,                 1.7944,                  0.966,                0.93916,                0.98753,                 0.6983,                 1.1338,                0.76148,                 1.8917,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.1452,                0.89273,                  1.754,                0.98446,                0.93388,                0.98334,                 0.6369,                 1.2569,                0.84789,                 2.0047,                0.00101,                0.00101,                0.00101
                     28,                 1.1238,                0.89097,                 1.7253,                0.98318,                0.94215,                0.98543,                0.61704,                 1.3497,                0.84432,                 2.0789,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.1106,                0.86464,                 1.7185,                0.98299,                0.98347,                0.99443,                0.70033,                 1.0685,                0.75911,                 1.7799,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.1054,                0.81603,                 1.6953,                0.96721,                0.97523,                0.99252,                0.74748,                 0.9994,                 0.6901,                 1.7235,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.0863,                0.80926,                 1.6851,                0.98287,                0.97521,                0.99331,                0.71512,                 1.0315,                0.68182,                 1.7687,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.0792,                0.80098,                 1.6829,                 0.9833,                0.97309,                0.99195,                0.70249,                 1.0843,                0.69533,                 1.8307,               0.000812,               0.000812,               0.000812
                     33,                 1.0586,                0.77714,                 1.6592,                0.96678,                0.97521,                0.98946,                0.64423,                 1.2046,                0.74319,                 1.9405,              0.0007724,              0.0007724,              0.0007724
                     34,                  1.054,                0.76036,                 1.6583,                0.97549,                0.98687,                0.99451,                0.71639,                 1.0938,                0.70847,                 1.8164,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.0305,                 0.7508,                 1.6327,                 0.9717,                0.97521,                0.99084,                 0.7046,                 1.0831,                0.72469,                 1.7924,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.0026,                0.73202,                 1.6079,                0.97011,                0.97521,                0.99264,                0.73661,                 1.0234,                0.61486,                 1.7284,              0.0006536,              0.0006536,              0.0006536
                     37,                0.98815,                0.73881,                 1.6024,                0.98728,                0.98347,                0.99376,                0.71293,                 1.0173,                0.62326,                 1.7094,               0.000614,               0.000614,               0.000614
                     38,                 1.0107,                 0.7465,                 1.6182,                0.98098,                0.97521,                0.99351,                0.76624,                 0.9191,                0.57505,                 1.6143,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.0006,                0.73415,                 1.6022,                0.97151,                0.98347,                0.99277,                0.72368,                 1.0625,                0.64816,                 1.7856,              0.0005348,              0.0005348,              0.0005348
                     40,                 0.9675,                0.71906,                 1.6099,                0.98309,                0.94215,                0.98923,                 0.6307,                 1.1624,                0.69745,                 1.9447,              0.0004952,              0.0004952,              0.0004952
                     41,                0.76883,                0.65427,                 1.5868,                0.98782,                0.99174,                0.99417,                0.76048,                0.92883,                0.54343,                 1.6405,              0.0004556,              0.0004556,              0.0004556
