                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.011,                 3.1539,                 4.2094,                0.00336,                      1,                 0.1686,                0.04552,                 2.5212,                 3.5071,                 4.1465,                0.00058,                0.00058,                0.00058
                      2,                 2.8814,                 2.8809,                 3.8768,                0.00336,                      1,                0.02523,                  0.008,                 2.7647,                 3.3271,                 4.4787,              0.0007906,              0.0007906,              0.0007906
                      3,                 2.7592,                 2.6366,                 3.5746,                0.00336,                      1,                0.03195,                0.01125,                 2.7513,                 3.3191,                 4.6151,              0.0006052,              0.0006052,              0.0006052
