                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4397,                 4.0556,                 4.2736,                0.00134,                0.08052,                0.00163,                0.00035,                 3.3442,                  4.142,                 4.1588,             0.00010002,             0.00010002,             0.00010002
                      2,                 3.5049,                 4.0194,                 4.2282,                0.00163,                0.09802,                0.00182,                0.00038,                 3.3422,                 4.1432,                 4.1572,             0.00021599,             0.00021599,             0.00021599
                      3,                 3.4785,                 3.9952,                 4.1821,                0.00157,                0.09447,                0.00462,                0.00159,                 3.3386,                 4.1443,                 4.1535,              0.0003312,              0.0003312,              0.0003312
                      4,                 3.3958,                 3.8645,                 4.1275,                0.00151,                0.09215,                0.00096,                0.00028,                 3.3318,                 4.1434,                 4.1474,             0.00044563,             0.00044563,             0.00044563
                      5,                 3.3852,                 3.6222,                 4.0767,                0.00174,                0.10854,                0.00122,                0.00031,                 3.3176,                 4.1541,                 4.1373,              0.0005593,              0.0005593,              0.0005593
                      6,                 3.2712,                 3.3334,                 3.9459,                0.00174,                0.11087,                0.00131,                0.00037,                 3.3128,                 4.1744,                 4.1315,             0.00067219,             0.00067219,             0.00067219
                      7,                 3.3012,                 3.2854,                 3.8561,                0.00121,                0.08761,                0.00123,                0.00033,                  3.329,                 4.2317,                 4.1605,             0.00078432,             0.00078432,             0.00078432
                      8,                 3.0676,                 3.1405,                 3.6699,                0.00128,                0.08994,                0.00097,                0.00024,                 3.3539,                 4.2353,                 4.1861,             0.00089567,             0.00089567,             0.00089567
                      9,                 3.0714,                 3.1117,                 3.5683,                0.00172,                0.13557,                0.00124,                0.00027,                 3.3903,                 4.2279,                  4.238,              0.0010063,              0.0010063,              0.0010063
                     10,                 2.9652,                 3.0572,                 3.4918,                0.00136,                0.14743,                 0.0017,                0.00028,                 3.4437,                 4.3185,                 4.3039,              0.0011161,              0.0011161,              0.0011161
                     11,                 3.0192,                  2.895,                 3.3748,                0.00091,                0.09947,                0.00317,                0.00039,                 3.4899,                 4.4123,                 4.3902,              0.0012251,              0.0012251,              0.0012251
                     12,                 2.9713,                 3.0404,                 3.3596,                0.00149,                0.10865,                0.00382,                0.00095,                 3.3089,                 3.9782,                 4.1071,              0.0013334,              0.0013334,              0.0013334
                     13,                 2.8676,                 2.9208,                 3.2719,                0.00202,                0.15661,                0.00809,                0.00164,                 3.3525,                 3.9932,                 4.0838,              0.0014409,              0.0014409,              0.0014409
                     14,                  2.934,                 2.9455,                 3.3125,                0.51672,                0.06268,                0.00708,                0.00171,                 3.1466,                 3.8346,                 3.7722,              0.0015476,              0.0015476,              0.0015476
                     15,                  2.756,                 2.8574,                 3.1799,                0.50838,                0.01639,                0.00797,                0.00169,                 3.0804,                 8.8813,                 3.1222,                0.00159,                0.00159,                0.00159
                     16,                 2.7744,                 2.7814,                 3.1157,                0.04782,                0.06668,                0.01886,                0.00529,                 2.9423,                 3.6519,                 3.1283,                0.00159,                0.00159,                0.00159
                     17,                 2.6388,                 2.9068,                 3.0376,                0.05881,                0.07133,                0.02159,                0.00715,                  2.831,                  3.734,                 3.4506,              0.0015845,              0.0015845,              0.0015845
                     18,                  2.656,                  2.821,                 2.9981,                0.10457,                  0.069,                 0.0294,                0.00813,                 2.8471,                 4.1093,                 3.5556,               0.001579,               0.001579,               0.001579
                     19,                 2.6156,                 2.8802,                 3.0433,                0.12402,                0.13534,                0.06547,                0.01853,                 2.7168,                 3.7755,                 3.2866,              0.0015735,              0.0015735,              0.0015735
